x_m,y_m,w_tr_right_m,w_tr_left_m
13.54,3.14,0.728,0.728
13.59,3.14,0.716,0.716
13.64,3.14,0.707,0.707
13.69,3.14,0.702,0.702
13.74,3.14,0.7,0.7
13.79,3.14,0.7,0.7
13.84,3.14,0.7,0.7
13.89,3.14,0.7,0.7
13.94,3.14,0.7,0.7
13.99,3.14,0.7,0.7
14.04,3.14,0.7,0.7
14.09,3.14,0.7,0.7
14.14,3.14,0.7,0.7
14.19,3.14,0.7,0.7
14.24,3.14,0.7,0.7
14.29,3.14,0.7,0.7
14.34,3.14,0.7,0.7
14.39,3.14,0.7,0.7
14.44,3.14,0.7,0.7
14.49,3.14,0.7,0.7
14.54,3.14,0.7,0.7
14.59,3.14,0.702,0.702
14.64,3.14,0.702,0.702
14.69,3.14,0.7,0.7
14.74,3.14,0.7,0.7
14.79,3.14,0.7,0.7
14.84,3.14,0.7,0.7
14.89,3.09,0.738,0.738
14.94,3.09,0.75,0.75
14.99,3.09,0.75,0.75
15.04,3.09,0.75,0.75
15.09,3.09,0.75,0.75
15.14,3.04,0.8,0.8
15.19,3.04,0.8,0.8
15.24,2.99,0.838,0.838
15.24,2.94,0.849,0.849
15.29,2.89,0.802,0.802
15.29,2.84,0.806,0.806
15.34,2.79,0.765,0.765
15.34,2.74,0.776,0.776
15.34,2.69,0.783,0.783
15.34,2.64,0.762,0.762
15.39,2.59,0.75,0.75
15.39,2.54,0.75,0.75
15.39,2.49,0.75,0.75
15.39,2.44,0.752,0.752
15.39,2.39,0.752,0.752
15.39,2.34,0.75,0.75
15.39,2.29,0.75,0.75
15.39,2.24,0.75,0.75
15.39,2.19,0.75,0.75
15.39,2.14,0.75,0.75
15.39,2.09,0.752,0.752
15.39,2.04,0.757,0.757
15.39,1.99,0.765,0.765
15.39,1.94,0.776,0.776
15.39,1.89,0.791,0.791
15.39,1.84,0.8,0.8
15.39,1.79,0.8,0.8
15.39,1.74,0.8,0.8
15.39,1.69,0.8,0.8
15.39,1.64,0.8,0.8
15.34,1.59,0.85,0.85
15.29,1.54,0.85,0.85
15.24,1.49,0.8,0.8
15.19,1.44,0.75,0.75
15.14,1.44,0.75,0.75
15.09,1.44,0.75,0.75
15.04,1.44,0.752,0.752
