x_m,y_m,w_tr_right_m,w_tr_left_m
-46.025,31.125,33.776,33.776
-46.025,31.175,33.805,33.805
-46.025,31.225,33.835,33.835
-46.025,31.275,33.864,33.864
-45.975,31.325,33.853,33.853
-45.975,31.375,33.882,33.882
-45.975,31.425,33.912,33.912
-45.975,31.475,33.942,33.942
-45.925,31.525,33.931,33.931
-45.925,31.575,33.961,33.961
-45.925,31.625,33.99,33.99
-45.875,31.675,33.98,33.98
-45.875,31.725,34.01,34.01
-45.875,31.775,34.04,34.04
-45.875,31.825,34.07,34.07
-45.825,31.875,34.06,34.06
-45.825,31.925,34.09,34.09
-45.825,31.975,34.12,34.12
-45.825,32.025,34.15,34.15
-45.775,32.075,34.14,34.14
-45.775,32.125,34.17,34.17
-45.775,32.175,34.2,34.2
-45.775,32.225,34.23,34.23
-45.725,32.275,34.221,34.221
-45.725,32.325,34.251,34.251
-45.725,32.375,34.281,34.281
-45.725,32.425,34.312,34.312
-45.675,32.475,34.302,34.302
-45.675,32.525,34.333,34.333
-45.675,32.575,34.363,34.363
-45.675,32.625,34.394,34.394
-45.625,32.675,34.385,34.385
-45.625,32.725,34.416,34.416
-45.625,32.775,34.447,34.447
-45.575,32.825,34.438,34.438
-45.575,32.875,34.469,34.469
-45.575,32.925,34.5,34.5
-45.575,32.975,34.531,34.531
-45.525,33.025,34.522,34.522
-45.525,33.075,34.552,34.552
-45.525,33.125,34.583,34.583
-45.525,33.175,34.613,34.613
-45.475,33.225,34.604,34.604
-45.475,33.275,34.635,34.635
-45.475,33.325,34.666,34.666
-45.425,33.375,34.657,34.657
-45.425,33.425,34.688,34.688
-45.425,33.475,34.719,34.719
-45.425,33.525,34.75,34.75
-45.375,33.575,34.741,34.741
-45.375,33.625,34.772,34.772
-45.375,33.675,34.802,34.802
-45.375,33.725,34.833,34.833
-45.325,33.775,34.824,34.824
-45.325,33.825,34.854,34.854
-45.325,33.875,34.885,34.885
-45.275,33.925,34.876,34.876
-45.275,33.975,34.907,34.907
-45.275,34.025,34.938,34.938
-45.275,34.075,34.969,34.969
-45.225,34.125,34.96,34.96
-45.225,34.175,34.991,34.991
-45.225,34.225,35.022,35.022
-45.175,34.275,35.014,35.014
-45.175,34.325,35.045,35.045
-45.175,34.375,35.077,35.077
-45.175,34.425,35.108,35.108
-45.125,34.475,35.1,35.1
