# x_m,y_m,w_tr_right_m,w_tr_left_m
-39.0750,25.7250,25.4243,25.4243
-39.0750,25.7750,25.4468,25.4468
-39.0750,25.8250,25.4694,25.4694
-39.0750,25.8750,25.4922,25.4922
-39.0750,25.9250,25.5149,25.5149
-39.0750,25.9750,25.5378,25.5378
-39.0750,26.0250,25.5608,25.5608
-39.0750,26.0750,25.5838,25.5838
-39.0750,26.1250,25.6069,25.6069
-39.0750,26.1750,25.6301,25.6301
-39.0750,26.2250,25.6533,25.6533
-39.0750,26.2750,25.6766,25.6766
-39.0750,26.3250,25.7000,25.7000
-39.0750,26.3750,25.7235,25.7235
-39.0750,26.4250,25.7471,25.7471
-39.0750,26.4750,25.7707,25.7707
-39.0750,26.5250,25.7944,25.7944
-39.0750,26.5750,25.8182,25.8182
-39.0750,26.6250,25.8421,25.8421
-39.0750,26.6750,25.8660,25.8660
-39.0750,26.7250,25.8900,25.8900
-39.0750,26.7750,25.9141,25.9141
-39.0750,26.8250,25.9382,25.9382
-39.0750,26.8750,25.9625,25.9625
-39.0750,26.9250,25.9868,25.9868
-39.0750,26.9750,26.0112,26.0112
-39.0750,27.0250,26.0356,26.0356
-39.0750,27.0750,26.0601,26.0601
-39.0750,27.1250,26.0847,26.0847
-39.0750,27.1750,26.1094,26.1094
-39.0750,27.2250,26.1341,26.1341
-39.0750,27.2750,26.1589,26.1589
-39.0750,27.3250,26.1838,26.1838
-39.0750,27.3750,26.2088,26.2088
-39.0250,27.4250,26.1906,26.1906
-39.0250,27.4750,26.2157,26.2157
-39.0250,27.5250,26.2409,26.2409
-39.0250,27.5750,26.2662,26.2662
-39.0250,27.6250,26.2915,26.2915
-39.0250,27.6750,26.3170,26.3170
-39.0250,27.7250,26.3425,26.3425
-39.0250,27.7750,26.3680,26.3680
-39.0250,27.8250,26.3937,26.3937
-39.0250,27.8750,26.4194,26.4194
-39.0250,27.9250,26.4451,26.4451
-39.0250,27.9750,26.4710,26.4710
-39.0250,28.0250,26.4969,26.4969
-39.0250,28.0750,26.5229,26.5229
-39.0250,28.1250,26.5489,26.5489
-39.0250,28.1750,26.5750,26.5750
-39.0250,28.2250,26.6012,26.6012
-38.9750,28.2750,26.5850,26.5850
-38.9750,28.3250,26.6113,26.6113
-38.9750,28.3750,26.6378,26.6378
-38.9750,28.4250,26.6643,26.6643
-38.9750,28.4750,26.6908,26.6908
-38.9750,28.5250,26.7175,26.7175
-38.9750,28.5750,26.7442,26.7442
-38.9750,28.6250,26.7709,26.7709
-38.9750,28.6750,26.7978,26.7978
-38.9750,28.7250,26.8247,26.8247
-38.9750,28.7750,26.8516,26.8516
-38.9250,28.8250,26.8366,26.8366
-38.9250,28.8750,26.8638,26.8638
-38.9250,28.9250,26.8910,26.8910
-38.9250,28.9750,26.9183,26.9183
-38.9250,29.0250,26.9456,26.9456
-38.9250,29.0750,26.9730,26.9730
-38.9250,29.1250,27.0005,27.0005
-38.9250,29.1750,27.0280,27.0280
-38.9250,29.2250,27.0556,27.0556
-38.9250,29.2750,27.0833,27.0833
-38.8750,29.3250,27.0694,27.0694
-38.8750,29.3750,27.0972,27.0972
-38.8750,29.4250,27.1251,27.1251
-38.8750,29.4750,27.1531,27.1531
-38.8750,29.5250,27.1811,27.1811
-38.8750,29.5750,27.2092,27.2092
